train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,created_at,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.019064543768763542,7.516520417993888e-05,0.019064543768763542,49.0,0,2024-10-28 11:18:08.802092,,,,,,,,,
0.3476148545742035,0.0038728490471839905,0.3476148545742035,99.0,0,2024-10-28 11:32:42.311164,,,,,,,,,
0.008570123463869095,4.2367792048025876e-05,0.008570123463869095,149.0,0,2024-10-28 11:46:48.709492,,,,,,,,,
0.18871943652629852,0.0009412255021743476,0.18871943652629852,199.0,0,2024-10-28 12:00:56.031402,,,,,,,,,
0.10099377483129501,0.0003756670339498669,0.10099377483129501,249.0,0,2024-10-28 12:15:15.630495,,,,,,,,,
,,,,0,2024-10-28 12:15:49.185921,0.07922248542308807,0.00045230393880046904,0.07922248542308807,0.16966615617275238,0.010946687310934067,0.16966615617275238,,,
,,,,0,2024-10-28 12:15:49.223029,,,,,,,0.14840629696846008,0.002589549869298935,0.14840629696846008
0.09834623336791992,0.000328657595673576,0.09834623336791992,299.0,1,2024-10-28 12:23:17.138079,,,,,,,,,
0.21382102370262146,0.000785346026532352,0.21382102370262146,349.0,1,2024-10-28 12:30:45.062015,,,,,,,,,
0.3544488847255707,0.002568243071436882,0.3544488847255707,399.0,1,2024-10-28 12:38:12.359901,,,,,,,,,
0.03321298956871033,0.00011992979852948338,0.03321298956871033,449.0,1,2024-10-28 12:45:38.892287,,,,,,,,,
0.05680296570062637,0.00019615571363829076,0.05680296570062637,499.0,1,2024-10-28 12:56:17.926997,,,,,,,,,
,,,,1,2024-10-28 12:56:33.173945,0.1877327710390091,0.0014241873286664486,0.1877327710390091,0.03528410196304321,0.0001296431291848421,0.03528410196304321,,,
,,,,1,2024-10-28 12:56:33.182744,,,,,,,0.1461748480796814,0.0027387479785829782,0.1461748480796814
0.3313424587249756,0.001634287415072322,0.3313424587249756,549.0,2,2024-10-28 13:26:45.141261,,,,,,,,,
0.06448592245578766,0.0002179483708459884,0.06448592245578766,599.0,2,2024-10-28 13:44:02.392400,,,,,,,,,
0.3733218312263489,0.005142168141901493,0.3733218312263489,649.0,2,2024-10-28 13:56:08.925659,,,,,,,,,
0.05662156641483307,0.00019700228585861623,0.05662156641483307,699.0,2,2024-10-28 14:07:56.866131,,,,,,,,,
0.06078271195292473,0.00020489050075411797,0.06078271195292473,749.0,2,2024-10-28 14:19:51.614173,,,,,,,,,
,,,,2,2024-10-28 14:20:21.907713,0.10074498504400253,0.0003436864644754678,0.10074498504400253,0.25771740078926086,0.0037746268790215254,0.25771740078926086,,,
,,,,2,2024-10-28 14:20:21.927317,,,,,,,0.1559286266565323,0.0033682570792734623,0.1559286266565323
