train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,lr_abs,epoch,created_at,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.04802314564585686,0.00017462372488807887,0.04802314564585686,49.0,4.999999873689376e-05,0,2024-10-29 00:09:14.035450,,,,,,,,,
0.4751302897930145,0.0029745937790721655,0.4751302897930145,99.0,4.999999873689376e-05,0,2024-10-29 00:11:30.531718,,,,,,,,,
0.27999672293663025,0.0010757407872006297,0.27999672293663025,149.0,4.999999873689376e-05,0,2024-10-29 00:13:48.387948,,,,,,,,,
0.5015121102333069,0.0030185808427631855,0.5015121102333069,199.0,4.999999873689376e-05,0,2024-10-29 00:16:06.552069,,,,,,,,,
0.09301519393920898,0.00031993104494176805,0.09301519393920898,249.0,4.999999873689376e-05,0,2024-10-29 00:23:03.276588,,,,,,,,,
0.0973394513130188,0.0003253875474911183,0.0973394513130188,299.0,4.999999873689376e-05,0,2024-10-29 00:28:25.416437,,,,,,,,,
0.33851516246795654,0.0015374020440503955,0.33851516246795654,349.0,4.999999873689376e-05,0,2024-10-29 00:33:44.229407,,,,,,,,,
0.5479070544242859,0.009463390335440636,0.5479070544242859,399.0,4.999999873689376e-05,0,2024-10-29 00:39:09.627563,,,,,,,,,
0.2710924446582794,0.0009714100160636008,0.2710924446582794,449.0,4.999999873689376e-05,0,2024-10-29 00:47:27.133617,,,,,,,,,
0.2964373826980591,0.0011133559746667743,0.2964373826980591,499.0,4.999999873689376e-05,0,2024-10-29 00:52:48.095630,,,,,,,,,
,,,,,0,2024-10-29 00:52:55.415671,0.17416319251060486,0.0012731620809063315,0.17416319251060486,0.09342467784881592,0.0003933647240046412,0.09342467784881592,,,
,,,,,0,2024-10-29 00:52:55.430389,,,,,,,0.17322532832622528,0.0029930092860013247,0.17322532832622528
0.0160928126424551,7.406481745420024e-05,0.0160928126424551,549.0,4.999999873689376e-05,1,2024-10-29 00:58:15.054843,,,,,,,,,
0.04288386180996895,0.00016551150474697351,0.04288386180996895,599.0,4.999999873689376e-05,1,2024-10-29 01:03:35.182580,,,,,,,,,
0.2633955478668213,0.0009240160579793155,0.2633955478668213,649.0,4.999999873689376e-05,1,2024-10-29 01:11:52.653263,,,,,,,,,
0.3581829071044922,0.0023742844350636005,0.3581829071044922,699.0,4.999999873689376e-05,1,2024-10-29 01:17:37.891080,,,,,,,,,
0.015734095126390457,7.042987272143364e-05,0.015734095126390457,749.0,4.999999873689376e-05,1,2024-10-29 01:23:42.905640,,,,,,,,,
0.026643777266144753,0.00011167182674398646,0.026643777266144753,799.0,4.999999873689376e-05,1,2024-10-29 01:29:55.281466,,,,,,,,,
0.5242154598236084,0.005149768199771643,0.5242154598236084,849.0,4.999999873689376e-05,1,2024-10-29 01:39:43.765981,,,,,,,,,
0.26100608706474304,0.0009652157314121723,0.26100608706474304,899.0,4.999999873689376e-05,1,2024-10-29 01:45:35.693878,,,,,,,,,
0.5365285873413086,0.0058419289998710155,0.5365285873413086,949.0,4.999999873689376e-05,1,2024-10-29 01:51:36.670255,,,,,,,,,
0.10430926084518433,0.00034852829412557185,0.10430926084518433,999.0,4.999999873689376e-05,1,2024-10-29 01:57:45.247621,,,,,,,,,
,,,,,1,2024-10-29 01:57:57.363693,0.18937847018241882,0.001059517846442759,0.18937847018241882,0.03478066995739937,0.00012643604713957757,0.03478066995739937,,,
,,,,,1,2024-10-29 01:57:57.374549,,,,,,,0.17069470882415771,0.002047115471214056,0.17069470882415771
